Curve Name	Centre	Width	Height	% Gaussian	Type	Area	ChiSq
SiO2	967.413	57.1585	40.776	100	Gaussian	2480.95	0.972236
D	1353.4	51.1466	98.5639	0	Lorentzian	7918.71	
G	1580.25	21.3012	461.843	0	Lorentzian	15453.2	
2D'	2453.88	15.9675	11.588	0	Lorentzian	290.645	
2D	2710.44	67.7802	252.291	0	Lorentzian	26861.2	
2D''	3245.32	12.9071	50.8959	0	Lorentzian	1031.89	
D+D'	2944.45	83.7541	23.2076	0	Lorentzian	3053.21	
a-C	1504.21	174.026	19.6773	100	Gaussian	3645.13	
G2	1621	19.7344	37.3231	0	Lorentzian	1156.97	